"","Sales_Rep","Business","Age","Female","Years","College","Certficates","Feedback","Salary","NPS","Diplomat","Explorer","Sentinel","Analyst"
"11609",11609,0,41,1,2,1,2,2.67,81800,5,0,1,0,0
"11614",11614,0,36,1,1,1,1,4,79800,5,1,0,0,0
"11615",11615,0,55,0,2,1,2,3.69,73000,8,1,0,0,0
"11618",11618,0,49,0,3,1,4,1.5,68000,4,0,0,1,0
"11619",11619,0,40,0,2,1,3,3.12,99000,8,1,0,0,0
"11620",11620,0,34,1,2,1,4,1.42,68200,10,1,0,0,0
"11621",11621,0,40,1,1,1,0,1.41,60000,5,0,1,0,0
"11623",11623,0,50,0,1,0,2,3.11,96000,6,1,0,0,0
"11625",11625,0,31,0,1,1,0,3.69,74000,6,1,0,0,0
"11626",11626,0,24,1,3,1,1,4,58200,7,1,0,0,0
"11627",11627,0,40,0,2,1,0,2.96,97000,4,1,0,0,0
"11628",11628,0,45,0,10,1,2,2.25,58000,5,0,0,1,0
"11629",11629,0,35,1,1,1,6,3.84,77000,7,1,0,0,0
"11631",11631,0,57,1,2,1,2,2.4,68600,5,0,1,0,0
"11636",11636,0,34,0,2,1,2,2.65,56000,4,0,0,0,1
"11637",11637,0,40,0,3,1,1,3.99,89000,4,0,1,0,0
"11641",11641,0,54,1,3,1,5,3.42,104200,8,0,1,0,0
"11642",11642,0,64,0,1,1,2,2.23,58000,5,1,0,0,0
"11643",11643,0,39,1,2,1,3,3.64,106200,9,0,1,0,0
"11644",11644,0,51,0,2,1,1,3.11,71000,8,1,0,0,0
"11645",11645,0,35,0,2,1,0,1.68,50000,3,0,0,1,0
"11648",11648,0,50,0,1,1,2,3.31,87000,3,1,0,0,0
"11649",11649,0,36,1,2,0,1,1.74,51800,4,0,0,0,1
"11651",11651,0,57,0,1,1,4,3.82,169000,9,0,1,0,0
"11652",11652,0,58,0,1,1,0,3.82,60000,4,1,0,0,0
"11654",11654,0,32,1,2,1,2,3.62,88600,6,1,0,0,0
"11656",11656,0,32,0,2,1,4,1.28,66000,5,0,1,0,0
"11657",11657,0,31,0,1,1,1,4,70000,6,0,1,0,0
"11659",11659,0,32,0,2,1,5,3.52,108000,9,0,0,1,0
"11660",11660,0,65,0,2,1,0,3.58,58000,4,0,1,0,0
"11662",11662,0,50,0,2,1,3,1.2,76000,7,0,1,0,0
"11664",11664,0,34,0,1,1,4,1.99,70000,6,1,0,0,0
"11666",11666,0,36,1,1,1,5,2.74,88800,9,0,1,0,0
"11672",11672,0,47,0,1,0,6,2.79,105000,9,1,0,0,0
"11673",11673,0,47,0,1,0,2,2.99,56000,3,0,0,0,1
"11677",11677,0,60,0,2,1,1,1.12,51000,3,1,0,0,0
"11680",11680,0,39,0,2,1,1,4,87000,6,0,0,1,0
"11681",11681,0,64,1,1,1,5,1.49,83200,5,1,0,0,0
"11686",11686,0,39,0,1,1,2,3.8,77000,10,0,1,0,0
"11690",11690,0,48,0,2,1,5,3.65,112000,4,0,0,1,0
"11692",11692,0,58,0,5,1,3,2.8,106000,9,1,0,0,0
"11693",11693,0,61,0,2,1,1,1.94,60000,5,0,1,0,0
"11694",11694,0,38,1,2,1,2,1.64,48400,6,0,0,0,1
"11695",11695,0,45,1,9,1,2,2.39,51000,4,0,0,1,0
"11696",11696,0,37,0,2,1,3,3.35,84000,7,0,0,1,0
"11699",11699,0,63,1,2,1,6,1.66,86400,8,0,0,1,0
"11700",11700,0,32,0,1,1,3,2.74,71000,7,0,0,1,0
"11701",11701,0,28,0,1,1,3,2.6,75000,8,0,1,0,0
"11703",11703,0,35,0,12,1,3,1.52,86000,10,0,0,0,1
"11705",11705,0,33,0,2,1,5,2.11,79000,7,1,0,0,0
"11707",11707,0,31,1,1,1,1,2.45,48800,4,0,1,0,0
"11710",11710,0,57,0,1,1,2,2.91,95000,6,0,1,0,0
"11713",11713,0,57,0,6,1,4,3.23,98000,9,0,1,0,0
"11714",11714,0,30,1,2,1,2,3.22,60000,6,1,0,0,0
"11715",11715,0,62,0,1,1,2,1.13,83000,4,1,0,0,0
"11720",11720,0,55,0,2,0,2,2.21,73000,3,1,0,0,0
"11723",11723,0,64,0,6,0,1,1.8,46000,4,0,0,0,1
"11726",11726,0,32,1,2,1,5,1.5,58600,5,1,0,0,0
"11729",11729,0,45,0,12,1,5,3.16,113000,9,0,0,1,0
"11730",11730,0,27,1,1,1,1,2.92,61600,5,0,1,0,0
"11731",11731,0,62,0,6,1,2,1.16,78000,6,1,0,0,0
"11732",11732,0,58,0,5,1,3,2.11,65000,3,0,0,1,0
"11733",11733,0,44,1,4,1,5,3.62,128200,8,0,1,0,0
"11737",11737,0,28,0,2,1,3,2.57,57000,7,0,0,0,1
"11738",11738,0,45,0,2,1,2,2.58,63000,6,0,1,0,0
"11741",11741,0,36,0,4,1,4,2.15,115000,8,1,0,0,0
"11742",11742,0,47,0,1,1,1,2.99,61000,2,0,0,1,0
"11744",11744,0,50,0,2,1,5,3.77,133000,9,0,1,0,0
"11745",11745,0,58,0,2,1,2,1.99,92000,5,1,0,0,0
"11747",11747,0,41,0,2,0,1,2.23,54000,3,1,0,0,0
"11749",11749,0,37,0,2,0,2,3.18,71000,8,0,1,0,0
"11750",11750,0,29,0,6,0,3,2.48,65000,5,1,0,0,0
"11751",11751,0,53,0,1,1,5,2.46,102000,6,0,0,1,0
"11755",11755,0,55,1,2,1,2,1.29,55000,6,0,1,0,0
"11757",11757,0,65,0,1,0,2,2.38,63000,5,0,1,0,0
"11758",11758,0,48,1,2,1,0,2.28,43400,2,0,0,1,0
"11759",11759,0,61,1,1,0,1,2.26,49800,4,0,1,0,0
"11761",11761,0,58,0,1,1,4,2.45,101000,8,0,1,0,0
"11762",11762,0,38,1,1,1,4,3.6,85400,10,0,0,1,0
"11764",11764,0,63,0,4,0,0,3.67,71000,7,0,1,0,0
"11766",11766,0,45,1,3,0,4,3.18,72000,9,0,1,0,0
"11767",11767,0,25,0,2,1,4,3.12,86000,9,1,0,0,0
"11768",11768,0,30,1,5,1,0,2.37,53000,6,1,0,0,0
"11770",11770,0,52,0,2,1,1,4,130000,8,0,1,0,0
"11771",11771,0,42,0,2,1,5,1.33,106000,5,1,0,0,0
"11773",11773,0,38,0,8,1,0,3.32,57000,5,0,1,0,0
"11775",11775,0,31,1,1,1,3,3.02,55800,10,0,1,0,0
"11776",11776,0,44,0,2,1,4,1.67,91000,4,1,0,0,0
"11777",11777,0,59,0,2,0,3,1.77,62000,3,0,0,1,0
"11783",11783,0,46,0,7,1,4,2.76,120000,9,0,1,0,0
"11785",11785,0,58,0,3,1,3,3.12,96000,10,0,1,0,0
"11788",11788,0,41,0,2,1,5,1.57,112000,5,0,0,1,0
"11789",11789,0,57,0,1,1,2,3.31,74000,7,1,0,0,0
"11790",11790,0,27,1,2,1,3,2.15,50600,3,0,0,1,0
"11791",11791,0,47,0,1,1,3,3.81,120000,8,1,0,0,0
"11792",11792,0,59,0,1,1,4,2.68,133000,9,1,0,0,0
"11793",11793,0,34,1,2,1,2,3.06,70200,4,1,0,0,0
"11795",11795,0,26,0,2,0,1,4,57000,6,1,0,0,0
"11797",11797,0,37,1,5,1,1,3.38,61600,4,0,1,0,0
"11801",11801,0,47,0,2,0,3,2.47,62000,6,0,1,0,0
"11803",11803,0,27,1,9,1,5,2.78,86600,9,0,1,0,0
"11806",11806,0,59,0,8,1,1,2.17,80000,5,0,1,0,0
"11807",11807,0,54,0,2,1,2,3.39,61000,4,0,0,0,1
"11808",11808,0,45,1,10,1,0,1.57,60000,10,1,0,0,0
"11809",11809,0,29,1,1,0,2,3.05,40200,3,1,0,0,0
"11811",11811,0,57,0,2,1,1,2.53,59000,5,0,0,0,1
"11813",11813,0,42,0,2,1,5,1.85,79000,9,0,1,0,0
"11817",11817,0,50,1,2,1,2,2.65,108000,6,1,0,0,0
"11818",11818,0,48,0,2,1,1,1.84,93000,6,1,0,0,0
"11820",11820,0,52,1,9,1,1,2.61,73600,3,0,0,1,0
"11821",11821,0,29,0,2,1,2,4,84000,4,0,1,0,0
"11823",11823,0,44,0,2,0,3,3.62,68000,5,0,0,0,1
"11824",11824,0,39,0,2,1,2,1.17,61000,5,0,1,0,0
"11825",11825,0,46,0,2,1,4,3.94,95000,7,0,0,1,0
"11826",11826,0,27,0,2,0,3,3.44,48000,5,1,0,0,0
"11827",11827,0,52,0,2,1,2,2.7,103000,5,1,0,0,0
"11832",11832,0,43,0,2,0,2,4,98000,7,0,1,0,0
"11835",11835,0,27,1,2,1,2,4,69600,5,1,0,0,0
"11836",11836,0,58,1,2,1,3,3.7,116400,8,1,0,0,0
"11837",11837,0,42,1,1,1,2,1.64,76600,7,0,1,0,0
"11839",11839,0,41,0,2,0,2,1.81,68000,6,1,0,0,0
"11840",11840,0,26,1,8,0,1,3.69,66800,9,0,1,0,0
"11845",11845,0,64,1,1,1,2,2.74,67200,5,0,1,0,0
"11846",11846,0,36,1,2,1,4,2.83,98800,8,0,1,0,0
"11847",11847,0,58,0,10,1,5,2.15,108000,9,1,0,0,0
"11854",11854,0,36,1,1,1,6,1.84,78800,9,0,1,0,0
"11855",11855,0,34,0,5,0,2,3.96,106000,7,1,0,0,0
"11856",11856,0,63,0,2,1,0,1.93,30000,1,0,0,0,1
"11857",11857,0,54,0,2,1,3,1.39,59000,5,1,0,0,0
"11858",11858,0,61,1,1,1,1,2.4,60800,3,1,0,0,0
"11859",11859,0,60,0,2,1,2,2.09,95000,7,1,0,0,0
"11860",11860,0,45,0,1,1,1,3.68,96000,7,1,0,0,0
"11862",11862,0,50,0,2,1,1,4,101000,6,1,0,0,0
"11863",11863,0,51,1,2,1,4,2.38,77800,6,0,0,0,1
"11864",11864,0,42,0,2,0,2,4,70000,10,1,0,0,0
"11866",11866,0,24,1,2,1,1,3.48,41200,3,0,0,0,1
"11868",11868,0,44,1,2,1,1,2.26,87200,9,1,0,0,0
"11869",11869,0,40,0,1,0,0,4,69000,7,1,0,0,0
"11871",11871,0,31,0,1,1,1,2.58,44000,3,1,0,0,0
"11873",11873,0,63,1,1,1,1,2.12,68400,5,0,1,0,0
"11876",11876,0,40,1,1,1,2,2.14,55000,6,0,0,0,1
"11877",11877,0,53,0,2,1,3,1.79,98000,10,1,0,0,0
"11879",11879,0,37,0,1,1,2,3.35,106000,6,0,1,0,0
"11885",11885,0,43,0,2,1,5,2.93,90000,6,0,0,0,1
"11886",11886,0,50,0,2,0,4,2.11,60000,4,0,1,0,0
"11887",11887,0,46,0,1,1,0,3.12,78000,2,0,1,0,0
"11888",11888,0,57,1,2,0,2,2.42,48600,5,0,1,0,0
"11890",11890,0,43,1,1,1,0,2.56,48400,3,0,1,0,0
"11894",11894,0,45,1,1,1,3,4,111000,8,0,1,0,0
"11898",11898,0,38,0,2,1,2,1.98,67000,6,0,1,0,0
"11908",11908,0,52,1,10,1,2,2.92,75600,8,0,1,0,0
"11910",11910,0,55,1,8,1,2,1.77,57000,5,0,0,0,1
"11911",11911,0,49,0,2,0,5,2.47,73000,4,0,0,0,1
"11912",11912,0,59,0,2,1,1,3.88,83000,7,0,1,0,0
"11915",11915,0,64,1,2,1,4,1.96,65200,4,1,0,0,0
"11917",11917,0,50,0,2,1,1,4,114000,8,0,1,0,0
"11918",11918,0,48,0,1,1,1,3.39,87000,3,0,1,0,0
"11919",11919,0,45,0,2,1,4,2.82,108000,8,0,1,0,0
"11924",11924,0,38,1,1,1,0,2.94,43400,3,0,0,1,0
"11925",11925,0,39,0,2,1,4,3.45,103000,6,0,1,0,0
"11927",11927,0,45,0,6,0,2,3.18,72000,8,1,0,0,0
"11932",11932,0,41,0,1,1,4,1.68,83000,5,1,0,0,0
"11934",11934,0,38,0,4,1,2,2.18,70000,3,0,0,1,0
"11937",11937,0,39,0,5,1,5,2.58,110000,7,0,1,0,0
"11940",11940,0,36,0,2,1,5,2.29,97000,10,0,1,0,0
"11942",11942,0,34,0,7,1,2,3.71,82000,7,0,0,0,1
"11943",11943,0,65,0,1,1,0,4,71000,4,0,1,0,0
"11945",11945,0,43,1,6,0,2,2.64,84400,5,0,1,0,0
"11946",11946,0,33,0,1,0,1,2.17,43000,3,0,0,1,0
"11948",11948,0,40,1,2,1,2,2,74000,8,0,1,0,0
"11950",11950,0,62,0,1,1,5,1.28,79000,8,0,1,0,0
"11955",11955,0,57,0,1,1,1,1.88,45000,3,0,0,1,0
"11957",11957,0,50,0,11,1,3,2.28,75000,5,0,0,1,0
"11959",11959,0,39,0,8,1,4,1.17,70000,9,1,0,0,0
"11965",11965,0,34,0,1,1,2,1.75,89000,5,0,1,0,0
"11968",11968,0,51,0,2,1,1,3.08,89000,6,1,0,0,0
"11969",11969,0,59,1,3,1,4,2.18,56200,5,0,0,0,1
"11972",11972,0,26,1,4,1,1,3.26,63800,8,0,1,0,0
"11973",11973,0,64,1,3,1,0,4,72200,6,0,1,0,0
"11976",11976,0,35,1,1,1,2,2.2,73000,6,0,1,0,0
"11979",11979,0,53,0,12,1,2,2.18,86000,8,1,0,0,0
"11981",11981,0,25,0,6,1,2,2.18,57000,5,1,0,0,0
"11983",11983,0,55,0,9,0,1,4,63000,8,0,0,1,0
"11985",11985,0,59,0,1,1,4,2.84,115000,6,1,0,0,0
"11986",11986,0,52,0,1,1,2,3.3,86000,9,1,0,0,0
"11987",11987,0,58,0,2,1,1,1.24,44000,2,0,0,1,0
"11988",11988,0,44,0,1,1,5,3.27,114000,10,1,0,0,0
"11990",11990,0,45,1,1,0,4,1.35,51000,4,0,0,0,1
"11992",11992,0,49,0,3,1,2,3.54,108000,9,1,0,0,0
"11996",11996,0,33,1,2,1,0,2.37,53400,3,0,1,0,0
"11999",11999,0,26,1,4,1,5,2.44,69800,8,0,1,0,0
"12002",12002,0,35,0,1,1,4,2.03,79000,3,0,0,0,1
"12003",12003,0,61,0,1,1,4,2.56,82000,5,0,1,0,0
"12004",12004,0,64,0,1,1,2,2.23,45000,5,1,0,0,0
"12005",12005,0,28,0,2,1,2,2.29,42000,4,0,0,0,1
"12009",12009,0,45,0,5,1,4,1.33,66000,5,0,0,0,1
"12010",12010,0,42,0,10,1,1,2.25,70000,7,1,0,0,0
"12011",12011,0,64,1,12,0,4,1.9,65200,9,0,1,0,0
"12012",12012,0,60,0,3,1,3,1.94,98000,6,1,0,0,0
"12013",12013,0,34,0,6,1,1,2.43,52000,4,1,0,0,0
"12014",12014,0,41,0,6,1,1,2.21,101000,5,0,1,0,0
"12016",12016,0,27,0,7,1,3,4,86000,10,1,0,0,0
"12018",12018,0,26,0,3,1,5,3.89,95000,10,0,1,0,0
"12019",12019,0,57,1,1,0,1,3.83,54600,5,0,1,0,0
"12021",12021,0,59,0,2,1,1,3.37,78000,4,1,0,0,0
"12022",12022,0,48,0,2,1,4,1.79,77000,6,0,1,0,0
"12025",12025,0,25,1,2,1,4,1.21,53000,5,0,0,0,1
"12027",12027,0,56,0,1,1,5,2.67,88000,9,0,1,0,0
"12028",12028,0,52,1,2,1,1,1.41,62600,4,0,1,0,0
"12031",12031,0,25,1,3,1,6,3.09,85000,9,1,0,0,0
"12036",12036,0,50,1,2,0,5,2.25,71000,5,0,0,1,0
"12037",12037,0,51,0,11,1,2,3.02,61000,5,0,0,1,0
"12038",12038,0,31,0,2,1,1,2.93,70000,4,1,0,0,0
"12039",12039,0,54,0,9,1,5,2.42,137000,8,1,0,0,0
"12043",12043,0,47,0,2,1,2,2.61,89000,5,0,0,0,1
"12049",12049,0,52,0,2,1,2,2.56,124000,6,0,1,0,0
"12050",12050,0,24,1,2,0,3,2.4,45200,8,0,1,0,0
"12055",12055,0,39,1,1,1,4,1.73,119200,5,1,0,0,0
"12058",12058,0,44,0,2,1,0,2.48,75000,5,1,0,0,0
"12060",12060,0,53,0,1,0,3,3.68,89000,6,0,1,0,0
"12061",12061,0,53,0,1,1,5,3.53,184000,10,1,0,0,0
"12062",12062,0,42,0,1,1,3,3.5,115000,6,0,1,0,0
"12063",12063,0,63,1,1,1,1,1.49,37400,3,0,0,1,0
"12065",12065,0,29,0,4,1,5,2.25,79000,5,0,0,1,0
"12066",12066,0,64,0,13,1,1,2.47,87000,8,0,1,0,0
"12071",12071,0,56,0,2,1,4,3.98,114000,9,0,1,0,0
"12072",12072,0,58,0,10,1,2,2.65,81000,6,0,0,1,0
"12073",12073,0,28,0,1,1,2,2.36,58000,4,1,0,0,0
"12074",12074,0,27,0,2,0,3,1.34,45000,4,0,1,0,0
"12075",12075,0,30,0,1,1,5,1.54,87000,6,0,1,0,0
"12078",12078,0,39,0,6,1,2,4,81000,7,0,0,0,1
"12082",12082,0,38,1,1,0,0,2.71,40400,4,0,0,1,0
"12083",12083,0,51,1,1,1,0,3.26,51800,3,0,1,0,0
"12084",12084,0,27,0,6,1,6,2.03,60000,6,0,0,0,1
"12090",12090,0,62,1,1,1,2,2.08,49600,2,0,0,1,0
"12095",12095,0,38,0,1,1,1,3.34,75000,8,1,0,0,0
"12096",12096,0,39,1,1,1,2,3.69,63200,5,1,0,0,0
"12097",12097,0,58,0,2,1,1,1.97,78000,7,1,0,0,0
"12098",12098,0,60,0,2,0,2,2.71,51000,3,0,0,1,0
"12101",12101,0,34,0,2,0,0,3.35,59000,4,0,1,0,0
"12102",12102,0,58,0,3,1,3,3,65000,5,1,0,0,0
"12109",12109,0,32,1,2,1,2,2.84,53600,7,0,1,0,0
"12111",12111,0,33,0,2,0,4,3.12,64000,5,0,1,0,0
"12112",12112,0,32,1,2,1,1,3.56,66600,7,0,1,0,0
"12113",12113,0,34,0,1,0,1,1.79,48000,4,1,0,0,0
"12116",12116,0,27,0,2,0,2,2.91,46000,4,0,1,0,0
"12118",12118,0,36,1,1,1,5,2.16,96800,6,0,0,1,0
"12120",12120,0,25,0,2,1,4,4,90000,8,0,1,0,0
"12123",12123,0,60,0,1,1,3,4,104000,6,1,0,0,0
"12125",12125,0,35,0,1,1,3,3.62,97000,8,0,1,0,0
"12127",12127,0,32,0,2,1,3,3.06,99000,9,1,0,0,0
"12128",12128,0,45,1,2,1,4,1.45,75000,8,1,0,0,0
"12129",12129,0,33,1,1,1,1,2.49,59400,8,1,0,0,0
"12130",12130,0,31,0,2,1,3,1.85,74000,8,0,1,0,0
"12133",12133,0,25,0,1,1,1,2.92,45000,4,1,0,0,0
"12135",12135,0,43,0,7,1,2,2.05,86000,7,0,1,0,0
"12138",12138,0,47,0,8,1,1,1.28,97000,6,1,0,0,0
"12139",12139,0,31,0,2,0,1,1.99,71000,6,1,0,0,0
"12140",12140,0,32,0,1,1,5,1.6,104000,9,1,0,0,0
"12147",12147,0,51,0,2,1,2,2.9,139000,7,1,0,0,0
"12148",12148,0,36,0,1,1,1,2.9,53000,3,1,0,0,0
"12149",12149,0,64,1,1,0,4,3.74,39200,3,0,0,1,0
"12150",12150,0,50,0,1,1,1,2.18,76000,3,0,0,1,0
"12151",12151,0,30,0,3,1,5,1.43,77000,7,1,0,0,0
"12152",12152,0,37,0,1,1,1,3.08,87000,6,1,0,0,0
"12154",12154,0,37,0,2,1,4,2.97,116000,8,0,1,0,0
"12155",12155,0,25,1,1,1,4,2.85,69000,6,0,1,0,0
"12158",12158,0,33,1,1,0,3,3.2,41400,5,0,0,0,1
"12160",12160,0,50,1,2,1,1,3.99,85000,9,1,0,0,0
"12161",12161,0,59,0,2,1,1,3.68,102000,7,0,1,0,0
"12162",12162,0,39,0,2,1,0,3.64,99000,6,1,0,0,0
"12163",12163,0,27,0,2,1,2,3.03,62000,5,0,0,1,0
"12165",12165,0,57,0,2,0,0,2.28,36000,3,0,0,0,1
"12166",12166,0,38,0,1,1,1,4,78000,9,1,0,0,0
"12167",12167,0,51,0,7,1,4,2.66,116000,9,0,1,0,0
"12169",12169,0,33,0,4,1,3,2.07,76000,5,1,0,0,0
"12170",12170,0,60,1,9,1,3,1.49,56000,4,0,0,0,1
"12172",12172,0,53,0,1,1,3,4,125000,4,1,0,0,0
"12173",12173,0,64,0,2,0,5,2.14,99000,7,0,1,0,0
"12174",12174,0,57,0,4,0,0,3.4,55000,5,0,0,1,0
"12178",12178,0,36,1,1,0,6,4,101800,9,1,0,0,0
"12180",12180,0,61,1,12,1,1,2.93,79800,10,1,0,0,0
"12185",12185,0,58,0,1,1,3,1.91,76000,4,0,1,0,0
"12187",12187,0,27,0,2,1,3,2.71,62000,6,1,0,0,0
"12189",12189,0,26,0,2,1,2,1.9,43000,5,0,1,0,0
"12192",12192,0,38,1,3,1,4,4,98400,10,0,1,0,0
"12195",12195,0,45,0,2,1,4,1.95,63000,8,0,0,0,1
"12196",12196,0,53,0,10,0,2,2.08,68000,7,0,1,0,0
"12197",12197,0,52,1,2,1,2,1.22,51600,4,0,0,0,1
"12198",12198,0,48,0,1,1,3,3.44,75000,5,0,0,1,0
"12204",12204,0,38,1,12,1,4,3.72,121400,8,1,0,0,0
"12205",12205,0,39,1,1,1,3,1.82,70200,4,1,0,0,0
"12207",12207,0,44,0,2,1,0,3.66,1e+05,9,0,1,0,0
"12217",12217,0,36,0,9,0,0,2.99,69000,5,1,0,0,0
"12218",12218,0,45,0,7,1,1,2.45,52000,5,0,0,1,0
"12220",12220,0,50,1,6,0,0,2.4,54000,4,0,1,0,0
"12222",12222,0,58,1,1,1,3,2.2,51400,6,0,1,0,0
"12223",12223,0,26,0,7,0,0,3.2,52000,7,0,1,0,0
"12228",12228,0,59,0,1,1,3,3.72,83000,4,0,0,1,0
"12230",12230,0,39,0,8,1,3,4,124000,10,1,0,0,0
"12233",12233,0,40,0,1,1,2,3.75,87000,10,0,1,0,0
"12234",12234,0,53,0,1,1,3,1.51,65000,5,0,1,0,0
"12238",12238,0,57,1,1,1,3,4,96600,9,1,0,0,0
"12247",12247,0,63,0,4,1,2,4,113000,7,0,1,0,0
"12251",12251,0,64,0,9,1,0,3.11,50000,3,1,0,0,0
"12253",12253,0,59,0,11,1,4,1.28,96000,8,0,0,0,1
"12258",12258,0,47,1,2,0,3,3.19,71600,4,0,0,1,0
"12259",12259,0,59,1,5,0,4,2.52,79200,5,0,0,1,0
"12260",12260,0,38,1,2,0,4,2.94,71400,9,1,0,0,0
"12262",12262,0,52,1,9,1,3,2.95,68600,10,1,0,0,0
"12267",12267,0,56,1,1,0,0,2.88,52800,8,1,0,0,0
"12269",12269,0,29,1,7,0,5,3.07,73200,9,1,0,0,0
"12271",12271,0,35,0,1,1,2,1.66,63000,5,0,1,0,0
"12272",12272,0,43,1,2,1,0,1.35,54400,5,0,1,0,0
"12274",12274,0,27,0,1,0,5,1.53,70000,10,0,1,0,0
"12276",12276,0,56,1,7,1,5,1.62,99800,9,0,1,0,0
"12277",12277,0,51,0,2,1,0,1.57,63000,3,1,0,0,0
"12281",12281,0,52,0,2,1,2,3.11,123000,4,1,0,0,0
"12282",12282,0,60,0,6,1,5,1.68,137000,8,1,0,0,0
"12284",12284,0,37,1,8,1,1,2.37,72600,7,0,1,0,0
"12285",12285,0,27,0,2,1,1,3.2,54000,7,0,1,0,0
"12287",12287,0,41,0,2,1,2,3.74,79000,6,1,0,0,0
"12288",12288,0,58,0,3,1,4,2.16,1e+05,5,0,0,1,0
"12289",12289,0,31,0,2,1,5,3.02,114000,10,1,0,0,0
"12290",12290,0,54,0,2,1,2,1.55,87000,8,1,0,0,0
"12295",12295,0,37,1,1,1,1,2.31,73600,5,0,1,0,0
"12296",12296,0,39,1,2,1,2,2.04,56200,3,0,0,0,1
"12298",12298,0,28,0,11,1,2,2,50000,9,0,1,0,0
"12301",12301,0,29,0,5,1,2,2.73,83000,4,0,1,0,0
"12302",12302,0,54,1,2,1,3,4,102200,10,0,1,0,0
"12304",12304,0,25,0,4,1,0,1.23,40000,4,0,0,1,0
"12310",12310,0,37,0,2,1,1,2.44,62000,3,0,0,1,0
"12311",12311,0,61,0,1,1,3,1.29,67000,6,1,0,0,0
"12314",12314,0,34,0,2,1,3,2.97,84000,7,1,0,0,0
"12318",12318,0,31,0,2,0,4,4,54000,7,0,0,1,0
"12319",12319,0,24,0,2,0,2,4,47000,9,1,0,0,0
"12320",12320,0,53,1,1,0,1,4,114400,7,0,1,0,0
"12323",12323,0,62,0,8,1,1,4,66000,7,1,0,0,0
"12324",12324,0,58,0,1,1,2,3.59,86000,7,0,1,0,0
"12325",12325,0,59,1,2,1,5,3.49,94200,8,1,0,0,0
"12326",12326,0,48,0,2,0,0,2.95,67000,6,0,1,0,0
"12328",12328,0,33,0,2,1,6,2.48,91000,10,1,0,0,0
"12330",12330,0,31,1,2,1,0,2.96,45800,4,0,1,0,0
"12331",12331,0,59,1,6,1,5,3.36,86200,9,0,1,0,0
"12333",12333,0,55,0,1,1,2,2.97,96000,5,0,1,0,0
"12335",12335,0,53,1,1,1,3,4,99400,10,0,1,0,0
"12342",12342,0,64,1,2,1,3,4,87200,7,0,1,0,0
"12345",12345,0,46,1,2,0,2,2.43,70800,6,1,0,0,0
"12348",12348,0,48,0,1,0,5,1.77,116000,9,1,0,0,0
"12349",12349,0,47,1,2,1,4,3.99,121600,8,0,1,0,0
"12350",12350,0,40,0,2,1,1,2.09,87000,6,1,0,0,0
"12351",12351,0,33,1,3,1,2,2.68,66400,5,0,1,0,0
"12352",12352,0,58,0,2,1,2,2.37,74000,6,0,1,0,0
"12353",12353,0,28,0,4,1,3,3.67,68000,5,0,0,0,1
"12355",12355,0,58,0,4,0,0,1.12,50000,4,0,1,0,0
"12356",12356,0,58,0,4,1,1,2.07,75000,5,1,0,0,0
"12358",12358,0,64,0,2,1,5,2.94,117000,7,0,1,0,0
"12360",12360,0,30,0,1,1,0,2.46,57000,3,1,0,0,0
"12361",12361,0,60,0,8,1,5,2.76,130000,10,0,1,0,0
"12369",12369,0,46,0,7,1,0,1.41,64000,7,0,1,0,0
"12372",12372,0,38,0,1,1,5,1.59,75000,8,0,1,0,0
"12373",12373,0,33,0,3,1,1,2.58,55000,4,1,0,0,0
"12375",12375,0,47,0,2,0,5,2.43,60000,5,0,0,1,0
"12376",12376,0,47,0,2,0,1,3.03,63000,7,0,1,0,0
"12379",12379,0,33,0,6,1,4,1.45,59000,3,0,0,1,0
"12380",12380,0,38,0,1,1,2,3.6,102000,7,0,1,0,0
"12382",12382,0,65,0,6,1,4,4,99000,8,1,0,0,0
"12383",12383,0,48,0,2,0,5,4,83000,7,0,0,1,0
"12386",12386,0,35,1,1,1,3,2.15,68000,8,1,0,0,0
"12389",12389,0,49,1,2,0,0,1.53,56200,7,0,1,0,0
"12394",12394,0,41,0,4,1,3,2.91,146000,7,0,1,0,0
"12395",12395,0,30,0,9,0,1,2.84,72000,5,1,0,0,0
"12396",12396,0,47,0,2,1,5,3.35,110000,10,0,0,0,1
"12397",12397,0,25,0,8,1,1,1.33,44000,6,0,1,0,0
"12398",12398,0,45,0,1,1,0,3.54,51000,3,0,0,1,0
"12399",12399,0,25,0,1,0,0,4,43000,4,0,1,0,0
"12400",12400,0,62,0,2,0,1,2.63,57000,6,1,0,0,0
"12401",12401,0,36,0,1,1,6,3.28,99000,9,1,0,0,0
"12402",12402,0,43,0,8,1,1,2.99,51000,7,1,0,0,0
"12403",12403,0,41,1,1,1,0,2.72,53800,3,0,0,1,0
"12404",12404,0,49,0,2,0,1,2.3,56000,5,0,0,0,1
"12406",12406,0,51,1,1,0,1,3.4,63800,6,0,1,0,0
"12412",12412,0,61,0,2,1,6,2.82,108000,9,1,0,0,0
"12413",12413,0,46,0,7,1,5,4,135000,9,0,1,0,0
"12416",12416,0,44,0,2,1,5,2.04,117000,9,1,0,0,0
"12417",12417,0,59,0,2,1,2,1.66,95000,5,1,0,0,0
"12420",12420,0,56,0,2,1,1,3.33,67000,7,1,0,0,0
"12421",12421,0,32,0,1,1,2,2.19,58000,7,1,0,0,0
"12423",12423,0,58,0,2,1,5,1.36,93000,8,0,1,0,0
